case_id,category,osi_layer,symptom,topology_note,raw_show_output,expected_fault,severity,concept_tag
CASE-011,WIRELESS,2,Laptop unable to connect to WAP-Office wireless network,Wireless Access Point connected to Switch-1 Fa0/5,Switch-1# show interfaces Fa0/5 switchport\nName: Fa0/5\nOperational Mode: static access\nAccess Mode VLAN: 99 (Unused_VLAN)\n\nWAP-1# show running-config | section ssid\ndot11 ssid Corporate-WiFi\n   vlan 30\n   authentication open,WAP port Fa0/5 is assigned to VLAN 99 instead of Wireless VLAN 30,MEDIUM,wireless_vlan_mismatch
CASE-012,DNS,7,PC-1 can ping 8.8.8.8 but fails to resolve www.example.com,PC-1 IP configuration inspect,PC-1> ipconfig /all\n   FastEthernet0 Connection Profile:\n   IP Address......................: 192.168.1.50\n   Subnet Mask.....................: 255.255.255.0\n   Default Gateway.................: 192.168.1.1\n   DNS Servers.....................: 192.168.1.250\n\nR1# show ip interface brief\nInterface              IP-Address      OK? Method Status                  Protocol\nGigabitEthernet0/0/2   192.168.1.200   YES manual up                      up,DNS Server configured on PC-1 (192.168.1.250) does not exist (actual DNS IP is 192.168.1.200),MEDIUM,dns_unreachable
CASE-013,ROUTING,3,Traffic from Site A to Site B takes 5 hops but return traffic drops,R1 connected to R2 and R3 in OSPF Area 0,R1# show ip route ospf\nO    172.16.2.0/24 [110/20] via 10.1.1.2, 00:05:12, GigabitEthernet0/0/1\n\nR2# show ip route ospf\n<empty routing table>\n\nR2# show ip ospf interface brief\nInterface           PID   Area            IP Address/Mask    Cost  State Nbrs(F/C)\nGi0/0/0             1     0               10.1.1.2/30        10    DR    0/0,Asymmetric routing / OSPF neighbor failure on R2 Gi0/0/0,HIGH,asymmetric_routing
CASE-014,INTERFACE,2,Inter-VLAN routing failing on router-on-a-stick Gi0/0.10,Router R1 connected to Switch-1 trunk port Gi0/1,R1# show running-config interface GigabitEthernet0/0.10\nBuilding configuration...\n\ninterface GigabitEthernet0/0.10\n encapsulation dot1Q 20\n ip address 192.168.10.1 255.255.255.0,Subinterface Gi0/0.10 configured with wrong 802.1Q VLAN ID (encapsulation dot1Q 20 instead of 10),HIGH,encapsulation_mismatch
CASE-015,VLAN,2,PC-A in Sales department connected to Switch port Fa0/3 cannot reach Sales server,Switch-1 port Fa0/3 configuration check,Switch-1# show interfaces Fa0/3 switchport\nName: Fa0/3\nSwitchport: Enabled\nAdministrative Mode: dynamic auto\nOperational Mode: static access\nAccess Mode VLAN: 1 (default)\n\nSwitch-1# show vlan brief\nVLAN Name                             Status    Ports\n---- -------------------------------- --------- -------------------------------\n1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4\n20   Sales                            active    Fa0/10, Fa0/11,Access port Fa0/3 is assigned to VLAN 1 (default) instead of Sales VLAN 20,MEDIUM,wrong_access_vlan
CASE-016,ROUTING,3,Host cannot ping default gateway 192.168.1.1,Host IP 192.168.1.50/24 connected to Router R1 Gi0/0/0,R1# show running-config interface GigabitEthernet0/0/0\ninterface GigabitEthernet0/0/0\n ip address 192.168.1.1 255.255.255.128\n shutdown,Subnet mask mismatch on gateway interface (255.255.255.128 /25 instead of 255.255.255.0 /24),HIGH,wrong_subnet_mask
CASE-017,DHCP,7,Wireless clients in VLAN 30 fail to obtain IP address from Router R1,Switch-3 L3 switch acting as default gateway for VLAN 30,Switch-3# show running-config interface Vlan30\ninterface Vlan30\n ip address 10.30.0.1 255.255.255.0\n! (ip helper-address is missing)\n\nR1# show running-config | section dhcp\nip dhcp pool VLAN30\n network 10.30.0.0 255.255.255.0\n default-router 10.30.0.1,Missing 'ip helper-address' on Switch-3 Vlan30 interface to relay DHCP requests to R1,HIGH,dhcp_helper_missing
CASE-018,NAT,4,Web server 192.168.1.100 not accessible from public internet,R1 WAN interface Gi0/0/0 IP 203.0.113.1,R1# show running-config | section nat\nip nat inside source static 192.168.1.100 203.0.113.10\n\nR1# show ip interface brief\nInterface              IP-Address      OK? Method Status                  Protocol\nGigabitEthernet0/0/0   203.0.113.1     YES manual up                      up      \nGigabitEthernet0/0/1   192.168.1.1     YES manual up                      up\n\nR1# show running-config interface GigabitEthernet0/0/0\ninterface GigabitEthernet0/0/0\n ip address 203.0.113.1 255.255.255.252\n! (ip nat outside is missing),Interface GigabitEthernet0/0/0 missing 'ip nat outside' directive,HIGH,nat_outside_missing
CASE-019,ACL,4,SSH access to Router R1 management IP 10.0.0.1 denied from admin PC,Admin PC 10.0.0.50 attempting SSH to R1 VTY lines,R1# show running-config | section line vty\nline vty 0 4\n access-class 15 in\n login local\n transport input ssh\n\nR1# show ip access-lists 15\nStandard IP access list 15\n    10 permit 10.0.1.0 0.0.0.255,VTY access-class 15 permits 10.0.1.0/24 but Admin PC IP is 10.0.0.50/24,MEDIUM,acl_vty_block
CASE-020,WIRELESS,2,IoT devices fail WPA2 Personal authentication on WAP-2,WAP-2 wireless access point,WAP-2# show running-config | section wlan\nwlan IoT-Mesh 2 IoT-SSID\n client vlan 40\n security wpa psk set-key ascii 0 SecretPass123\n\nIoT-Client# show wlan status\nSSID: IoT-SSID\nSecurity: WPA2-PSK\nKey: SecretPass12,WPA2 Pre-Shared Key mismatch between WAP-2 (SecretPass123) and IoT Client (SecretPass12),MEDIUM,wireless_auth_mismatch
CASE-021,ROUTING,3,RIPv2 updates not received between R1 and R2 across Gi0/0/0,R1 and R2 connected via 172.16.1.0/30 link,R1# show running-config | section rip\nrouter rip\n version 2\n network 172.16.0.0\n network 192.168.1.0\n passive-interface GigabitEthernet0/0/0,GigabitEthernet0/0/0 is configured as passive-interface under RIP preventing routing updates,MEDIUM,routing_passive_interface
CASE-022,VLAN,2,Trunk link between Switch-1 and Switch-2 shows encapsulation mismatch,Switch-1 Gi0/1 to Switch-2 Gi0/1 link,Switch-1# show running-config interface GigabitEthernet0/1\ninterface GigabitEthernet0/1\n switchport trunk encapsulation dot1q\n switchport mode trunk\n\nSwitch-2# show running-config interface GigabitEthernet0/1\ninterface GigabitEthernet0/1\n switchport mode dynamic auto,Switch-2 Gi0/1 port mode is dynamic auto and failed to negotiate trunking with Switch-1,HIGH,trunk_mode_mismatch
CASE-023,INTERFACE,1,SFP Fiber optic module link down on Gi0/0/2,R1 Gi0/0/2 SFP interface connected to Core Switch,R1# show interfaces GigabitEthernet0/0/2\nGigabitEthernet0/0/2 is down, line protocol is down (notconnect)\n  Hardware is CN GE Port, address is 0002.4b2a.1102\n  MTU 1500 bytes, BW 1000000 Kbit/sec, DLY 10 usec,\n  full-duplex, 1000Mb/s, media type is Optical,Physical layer cabling or speed/duplex negotiation failure on GigabitEthernet0/0/2,HIGH,interface_physical_down
CASE-024,DNS,7,Domain resolution intermittently fails for internal active directory server,PC-2 DNS query for dc1.corp.internal,PC-2> nslookup dc1.corp.internal\nServer:  UnKnown\nAddress:  192.168.1.2\n*** UnKnown can't find dc1.corp.internal: Server failed\n\nR1# show running-config | section dns\nip dns server\nip host dc1.corp.internal 192.168.1.254,R1 DNS server host record points to 192.168.1.254 but Active Directory IP is 192.168.1.10,MEDIUM,dns_wrong_record
CASE-025,ROUTING,3,OSPF adjacency stuck in EXSTART/EXCHANGE state between R1 and R2,R1 Gi0/0/0 to R2 Gi0/0/0,R1# show ip ospf interface GigabitEthernet0/0/0\nGigabitEthernet0/0/0 is up, line protocol is up\n  Internet Address 10.0.0.1/30, Area 0\n  MTU 1500 bytes\n\nR2# show ip ospf interface GigabitEthernet0/0/0\nGigabitEthernet0/0/0 is up, line protocol is up\n  Internet Address 10.0.0.2/30, Area 0\n  MTU 1400 bytes,MTU mismatch on OSPF link (R1 MTU 1500 vs R2 MTU 1400),HIGH,ospf_mtu_mismatch
CASE-026,DHCP,3,DHCP Relay agent failing to forward request to 10.10.10.1,R2 interface Gi0/0/1 serving LAN 192.168.30.0/24,R2# show running-config interface GigabitEthernet0/0/1\ninterface GigabitEthernet0/0/1\n ip address 192.168.30.1 255.255.255.0\n ip helper-address 10.10.10.2\n\nR1# show ip interface brief\nInterface              IP-Address      OK? Method Status                  Protocol\nGigabitEthernet0/0/0   10.10.10.1      YES manual up                      up,Helper address on R2 Gi0/0/1 points to 10.10.10.2 instead of actual DHCP server 10.10.10.1,HIGH,dhcp_helper_wrong_ip
CASE-027,NAT,4,Static NAT translation failing for external web access to 192.168.1.50,Router R1 performing static NAT,R1# show running-config interface GigabitEthernet0/0/1\ninterface GigabitEthernet0/0/1\n ip address 192.168.1.1 255.255.255.0\n! (ip nat inside missing)\n\nR1# show running-config | section nat\nip nat inside source static 192.168.1.50 203.0.113.50,LAN interface GigabitEthernet0/0/1 missing 'ip nat inside' configuration,HIGH,nat_inside_missing
CASE-028,ACL,4,Inter-VLAN traffic between VLAN 10 and VLAN 20 blocked on L3 Switch,Switch-1 Vlan10 interface has inbound access-group,Switch-1# show ip access-lists VLAN10_RESTRICT\nExtended IP access list VLAN10_RESTRICT\n    10 deny ip 192.168.10.0 0.0.0.255 192.168.20.0 0.0.0.255 (310 matches)\n\nSwitch-1# show running-config interface Vlan10\ninterface Vlan10\n ip address 192.168.10.1 255.255.255.0\n ip access-group VLAN10_RESTRICT in,Access list VLAN10_RESTRICT rule 10 explicitly denies traffic to 192.168.20.0/24,HIGH,acl_inter_vlan_block
CASE-029,INTERFACE,2,Spanning Tree Protocol blocked port Fa0/1 unexpectedly,Switch-1 Fa0/1 connected to Switch-2 Fa0/1,Switch-1# show spanning-tree vlan 1\nVLAN0001\n  Spanning tree enabled protocol ieee\n  Root ID    Priority    32769\n             Address     0001.c411.2200\n             Cost        19\n             Port        1 (FastEthernet0/1)\n  Interface           Role Sts Cost      Prio.Nbr Type\n  ------------------- ---- --- --------- -------- --------------------------------\n  Fa0/1               Altn BLK 19        128.1    Shr,STP BPDU guard or loop guard blocked port Fa0/1 due to redundant connection or priority misconfiguration,MEDIUM,stp_port_blocked
CASE-030,VLAN,2,Voice VLAN traffic on IP Phone Fa0/1 not receiving QoS priority or VLAN 15 tagging,Switch-1 Fa0/1 connected to IP Phone and PC,Switch-1# show interfaces Fa0/1 switchport\nName: Fa0/1\nOperational Mode: static access\nAccess Mode VLAN: 10 (Data)\nVoice VLAN: none,Voice VLAN is set to 'none' on switchport Fa0/1,MEDIUM,voice_vlan_missing
CASE-031,ROUTING,3,Static route to remote branch points to wrong next-hop IP,HQ-R1 connected to Branch-R1 via 10.2.2.0/30,HQ-R1# show ip route static\nS    192.168.50.0/24 [1/0] via 10.2.2.6\n\nHQ-R1# show ip interface brief\nInterface              IP-Address      OK? Method Status                  Protocol\nGigabitEthernet0/0/1   10.2.2.1        YES manual up                      up,Static route for 192.168.50.0/24 points to non-existent next-hop IP 10.2.2.6 (should be 10.2.2.2),HIGH,wrong_next_hop
CASE-032,WIRELESS,2,WPA2 Enterprise clients failing 802.1X authentication with RADIUS,WAP-3 communicating with RADIUS Server 192.168.1.100,WAP-3# show running-config | section radius\nradius-server host 192.168.1.100 auth-port 1812 acct-port 1813 key RadiusSecret123\n\nRADIUS-Server# show log\nAug 28 14:02:10: RADIUS: Access-Request rejected for user 'jsmith' - Shared secret mismatch,RADIUS shared secret mismatch between WAP-3 (RadiusSecret123) and RADIUS server,HIGH,radius_secret_mismatch
